feature,2026-01-01,2026-03-06
Adj Close,0.47368942796880625,5.961058652034385
close_lag_1,0.10457721782325076,2.0194266926102817
ema_10,0.07864844600707757,1.4131205887859113
ema_20,0.012730936975217808,2.7659919337796524
ema_5,0.27749367217147475,2.9886862939019676
ema_50,0.06255827287094727,1.2875190095003748
ma_10,0.029542108650588823,1.6226125900383244
q75_50,0.003467310087204001,1.3748519248693674
sma_13,0.05611321050789999,2.51710882793624
sma_26,0.04485911626264107,2.057760335185815
stl_trend_30,0.18661083891601268,1.276987009487962
stl_trend_60,0.11612397454522845,1.8600920230169098
